,precision,recall,f1,auc_pr,auc_roc
Logistic Regression,0.37606318347509116,0.9671875,0.5415573053368329,0.906737934088106,0.9980803996421559
Random Forest,0.8481110254433307,0.859375,0.8537058595265813,0.9313744530024847,0.9981945567429389
XGBoost,0.805939226519337,0.91171875,0.8555718475073314,0.9446105683941166,0.9991123589820142
SVM,0.45313626532083634,0.98203125,0.6201282683769117,0.7847332810754196,0.9973918047539715
