,precision,recall,f1,auc_pr,auc_roc
ANN,0.6637458926615553,0.946875,0.7804249839021249,0.9393666525416368,0.9989549090408759
Attention-ANN,0.5730880929332043,0.925,0.7077106993424985,0.9128037954717564,0.9941544571936438
Autoencoder,0.416141235813367,0.7734375,0.5411314566821536,0.6592522192189881,0.9858840637723227
