,precision,recall,f1,auc_pr,auc_roc
GraphSAGE,0.4394415357766143,0.98359375,0.6074788902291918,0.9470042190329304,0.9990185417799982
GAT,0.3627479160678356,0.9859375,0.5303635217482664,0.8173939254521099,0.9976301760161582
HGT,0.40119760479041916,0.99453125,0.5717493824388054,0.9350839277014006,0.9990417038978232
